buy_ts,uid,n_pedidos
2017-06,1575281904278712,2
2017-06,16233238570251706,1
2017-06,29085576454138824,1
2017-06,31782048561502182,1
2017-06,50884319066603964,1
2017-06,63862661827066303,2
2017-06,81515815555929204,2
2017-06,83883645132002689,1
2017-06,106620219523201745,1
2017-06,122714190337620840,1
2017-06,123938579328720209,1
2017-06,138933889262593703,1
2017-06,143427074811278640,1
2017-06,148401564840028266,1
2017-06,177158245959100387,1
2017-06,179677842543925122,1
2017-06,180158750434420043,1
2017-06,200441795525404407,1
2017-06,201308712819916034,1
2017-06,228418551074960896,1
2017-06,255246909617571582,3
2017-06,260176838042880796,2
2017-06,265092700744572356,2
2017-06,275860421779061647,1
2017-06,291701614935971619,1
2017-06,307206944887803466,1
2017-06,308012096412021512,1
2017-06,311074707668989924,1
2017-06,323421911713326004,2
2017-06,327008925536897949,1
2017-06,333800817230940334,1
2017-06,340850234219578382,1
2017-06,345779382857926589,1
2017-06,355748900378959592,1
2017-06,360198093363866063,2
2017-06,383055661744973590,1
2017-06,385619727271643289,3
2017-06,392944406155521545,2
2017-06,402358756918500450,1
2017-06,409262394337119652,1
2017-06,426004192732811314,1
2017-06,428656741604270817,1
2017-06,431415459568726637,1
2017-06,434141521995108373,2
2017-06,440869738426698416,1
2017-06,459817253589014329,1
2017-06,461906529430190072,1
2017-06,493200300240013221,1
2017-06,511435992235471873,1
2017-06,514432174258575523,2
2017-06,530506565655903959,2
2017-06,548150546551651319,1
2017-06,555822247590506880,1
2017-06,572540173977035437,1
2017-06,580938901034402405,1
2017-06,585738041899923335,1
2017-06,594003046069741418,1
2017-06,602464358639253618,1
2017-06,605497740358125194,1
2017-06,640633938498377508,1
2017-06,641125900571258383,1
2017-06,650898162619019296,1
2017-06,662599757926591147,1
2017-06,666694641223211746,1
2017-06,666966275056137468,1
2017-06,682688807801880721,1
2017-06,682722245995017194,1
2017-06,683726591615537842,1
2017-06,684323361726182179,1
2017-06,686452318813313400,1
2017-06,704493178080336797,1
2017-06,715848749790912625,1
2017-06,722282913515972970,3
2017-06,729434268810089227,1
2017-06,747232740515376471,1
2017-06,751866705699228845,1
2017-06,757844846211762968,1
2017-06,765389942000447725,1
2017-06,769912365053375434,1
2017-06,808557978755898346,1
2017-06,815963218306724459,1
2017-06,823019665372865584,1
