sesion_fecha,n_sesion,n_usuarios
2017-06-01,664,605
2017-06-02,658,608
2017-06-03,477,445
2017-06-04,510,476
2017-06-05,893,820
2017-06-06,875,797
2017-06-07,788,699
2017-06-08,939,868
2017-06-09,755,695
2017-06-10,375,350
2017-06-11,306,292
2017-06-12,355,335
2017-06-13,536,502
2017-06-14,547,499
2017-06-15,609,575
2017-06-16,524,481
2017-06-17,337,328
2017-06-18,306,285
2017-06-19,518,482
2017-06-20,498,458
2017-06-21,463,436
2017-06-22,568,537
2017-06-23,473,446
2017-06-24,340,328
2017-06-25,413,383
2017-06-26,606,564
2017-06-27,520,489
2017-06-28,589,552
2017-06-29,590,546
2017-06-30,473,439
2017-07-01,391,361
2017-07-02,345,330
2017-07-03,631,594
2017-07-04,542,511
2017-07-05,566,519
2017-07-06,620,578
2017-07-07,573,542
2017-07-08,415,389
2017-07-09,475,444
2017-07-10,749,685
2017-07-11,618,564
2017-07-12,727,669
2017-07-13,804,741
2017-07-14,921,839
2017-07-15,739,694
2017-07-16,547,514
2017-07-17,1278,1138
2017-07-18,775,706
2017-07-19,610,547
2017-07-20,634,594
2017-07-21,554,517
2017-07-22,378,357
2017-07-23,345,322
2017-07-24,592,554
2017-07-25,470,439
2017-07-26,456,425
2017-07-27,496,465
2017-07-28,395,362
2017-07-29,331,307
2017-07-30,332,311
2017-07-31,519,476
2017-08-01,438,410
2017-08-02,379,360
2017-08-03,424,397
2017-08-04,369,347
2017-08-05,304,280
2017-08-06,296,282
2017-08-07,444,414
2017-08-08,413,388
2017-08-09,422,394
2017-08-10,470,446
2017-08-11,444,414
2017-08-12,296,271
2017-08-13,293,281
2017-08-14,520,492
2017-08-15,517,481
2017-08-16,483,449
2017-08-17,508,470
2017-08-18,459,437
2017-08-19,300,292
2017-08-20,341,323
2017-08-21,558,521
2017-08-22,541,502
2017-08-23,567,529
2017-08-24,530,485
2017-08-25,525,502
2017-08-26,425,409
2017-08-27,439,422
2017-08-28,657,602
2017-08-29,636,579
2017-08-30,649,600
2017-08-31,708,652
2017-09-01,623,572
2017-09-02,494,472
2017-09-03,529,499
2017-09-04,700,654
2017-09-05,783,728
2017-09-06,832,777
2017-09-07,845,782
2017-09-08,881,832
2017-09-09,539,511
2017-09-10,535,506
2017-09-11,814,763
2017-09-12,700,638
2017-09-13,693,639
2017-09-14,854,795
2017-09-15,774,713
2017-09-16,592,561
2017-09-17,584,555
2017-09-18,856,796
2017-09-19,883,799
2017-09-20,837,769
2017-09-21,882,801
2017-09-22,884,798
2017-09-23,669,635
2017-09-24,704,662
2017-09-25,1066,984
2017-09-26,1070,980
2017-09-27,1043,951
2017-09-28,1184,1079
2017-09-29,1167,1074
2017-09-30,890,847
2017-10-01,895,848
2017-10-02,1228,1146
2017-10-03,1289,1190
2017-10-04,1331,1232
2017-10-05,1319,1226
2017-10-06,1556,1418
2017-10-07,1202,1117
2017-10-08,953,901
2017-10-09,1362,1257
2017-10-10,1244,1143
2017-10-11,1219,1119
2017-10-12,1281,1173
2017-10-13,1301,1197
2017-10-14,952,897
2017-10-15,958,913
2017-10-16,1269,1168
2017-10-17,1162,1074
2017-10-18,1186,1109
2017-10-19,1221,1133
2017-10-20,1365,1267
2017-10-21,1070,1000
2017-10-22,1063,1001
2017-10-23,1372,1257
2017-10-24,1326,1204
2017-10-25,1198,1114
2017-10-26,1235,1129
2017-10-27,1286,1187
2017-10-28,1089,1020
2017-10-29,1206,1127
2017-10-30,1399,1308
2017-10-31,1366,1259
2017-11-01,1339,1237
2017-11-02,1270,1168
2017-11-03,1222,1144
2017-11-04,987,943
2017-11-05,1062,1009
2017-11-06,1122,1047
2017-11-07,1326,1240
2017-11-08,1275,1201
2017-11-09,1231,1149
2017-11-10,1299,1197
2017-11-11,1020,959
2017-11-12,1014,963
2017-11-13,1534,1413
2017-11-14,1373,1270
2017-11-15,1256,1148
2017-11-16,1757,1604
2017-11-17,1538,1411
2017-11-18,1085,1008
2017-11-19,1113,1041
2017-11-20,1549,1415
2017-11-21,1463,1363
2017-11-22,1374,1255
2017-11-23,1573,1433
2017-11-24,4042,3319
2017-11-25,2089,1817
2017-11-26,1482,1346
2017-11-27,1774,1571
2017-11-28,1746,1493
2017-11-29,1480,1296
2017-11-30,1574,1409
2017-12-01,1415,1273
2017-12-02,1146,1040
2017-12-03,1274,1185
2017-12-04,1562,1432
2017-12-05,1602,1458
2017-12-06,1529,1377
2017-12-07,1656,1524
2017-12-08,1541,1411
2017-12-09,1194,1077
2017-12-10,1214,1130
2017-12-11,1651,1505
2017-12-12,1608,1451
2017-12-13,1670,1509
2017-12-14,1531,1386
2017-12-15,1431,1300
2017-12-16,1108,1040
2017-12-17,1121,1045
2017-12-18,1400,1298
2017-12-19,1280,1164
2017-12-20,1276,1173
2017-12-21,1315,1215
2017-12-22,1237,1148
2017-12-23,945,874
2017-12-24,1047,972
2017-12-25,1503,1372
2017-12-26,1496,1370
2017-12-27,1444,1334
2017-12-28,1496,1377
2017-12-29,1315,1192
2017-12-30,1192,1106
2017-12-31,784,732
2018-01-01,1065,992
2018-01-02,1355,1265
2018-01-03,1317,1219
2018-01-04,1370,1260
2018-01-05,1092,1006
2018-01-06,974,915
2018-01-07,884,831
2018-01-08,980,903
2018-01-09,1214,1128
2018-01-10,1238,1142
2018-01-11,1325,1238
2018-01-12,1248,1155
2018-01-13,902,834
2018-01-14,964,887
2018-01-15,1313,1222
2018-01-16,1218,1107
2018-01-17,1139,1045
2018-01-18,1292,1178
2018-01-19,1277,1173
2018-01-20,1061,980
2018-01-21,1017,923
2018-01-22,1399,1266
2018-01-23,1263,1153
2018-01-24,1239,1118
2018-01-25,1325,1224
2018-01-26,1229,1120
2018-01-27,1044,959
2018-01-28,989,918
2018-01-29,1432,1319
2018-01-30,1420,1282
2018-01-31,1354,1240
2018-02-01,1878,1640
2018-02-02,1527,1378
2018-02-03,1114,1045
2018-02-04,1071,1007
2018-02-05,1356,1256
2018-02-06,1309,1200
2018-02-07,1354,1250
2018-02-08,1540,1417
2018-02-09,1418,1294
2018-02-10,1306,1189
2018-02-11,1124,1030
2018-02-12,1487,1372
2018-02-13,1453,1314
2018-02-14,1466,1333
2018-02-15,1509,1390
2018-02-16,1265,1153
2018-02-17,986,899
2018-02-18,1106,1007
2018-02-19,1490,1368
2018-02-20,1430,1300
2018-02-21,1418,1285
2018-02-22,1298,1200
2018-02-23,1061,981
2018-02-24,1139,1062
2018-02-25,1094,1031
2018-02-26,1504,1411
2018-02-27,1302,1195
2018-02-28,1177,1073
2018-03-01,1280,1166
2018-03-02,1374,1253
2018-03-03,1041,962
2018-03-04,1093,1029
2018-03-05,1328,1209
2018-03-06,1344,1213
2018-03-07,1423,1311
2018-03-08,1112,1025
2018-03-09,1072,984
2018-03-10,984,908
2018-03-11,884,821
2018-03-12,1293,1169
2018-03-13,1244,1124
2018-03-14,1108,1010
2018-03-15,1134,1017
2018-03-16,1081,992
2018-03-17,856,797
2018-03-18,773,709
2018-03-19,1303,1180
2018-03-20,1275,1171
2018-03-21,1223,1120
2018-03-22,1467,1369
2018-03-23,1233,1146
2018-03-24,1189,1093
2018-03-25,1703,1545
2018-03-26,1796,1609
2018-03-27,1734,1551
2018-03-28,1069,981
2018-03-29,1128,1037
2018-03-30,134,131
2018-03-31,1,1
2018-04-02,683,641
2018-04-03,1010,942
2018-04-04,1012,938
2018-04-05,982,912
2018-04-06,993,911
2018-04-07,781,730
2018-04-08,781,729
2018-04-09,1029,958
2018-04-10,965,901
2018-04-11,952,883
2018-04-12,995,919
2018-04-13,1020,946
2018-04-14,690,648
2018-04-15,731,702
2018-04-16,943,871
2018-04-17,910,840
2018-04-18,1024,933
2018-04-19,1135,1043
2018-04-20,1090,997
2018-04-21,838,781
2018-04-22,828,778
2018-04-23,1105,1006
2018-04-24,996,905
2018-04-25,978,887
2018-04-26,1050,944
2018-04-27,915,830
2018-04-28,860,799
2018-04-29,670,635
2018-04-30,549,515
2018-05-01,517,489
2018-05-02,526,496
2018-05-03,872,803
2018-05-04,799,745
2018-05-05,612,565
2018-05-06,621,580
2018-05-07,774,711
2018-05-08,653,609
2018-05-09,464,441
2018-05-10,868,806
2018-05-11,879,805
2018-05-12,616,555
2018-05-13,549,511
2018-05-14,858,785
2018-05-15,832,755
2018-05-16,943,848
2018-05-17,1012,902
2018-05-18,991,893
2018-05-19,735,676
2018-05-20,723,678
2018-05-21,977,881
2018-05-22,943,886
2018-05-23,894,811
2018-05-24,907,833
